Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
257233,Raintree County,Ross Lockridge Jr.,"Jr., Ross Lockridge",,"=""014023666X""","=""9780140236668""",3,Penguin Books,Paperback,1088,1994,1948,2026/06/23,2024/06/28,,,read,,,,1,0
16158542,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,"Brown, Daniel James",,"=""067002581X""","=""9780670025817""",0,Viking,Hardcover,404,2013,2013,,2026/06/08,to-read,to-read (#31),to-read,,,,0,0
52199304,"The World for Sale: Money, Power and the Traders Who Barter the Earth’s Resources",Javier Blas,"Blas, Javier",Jack Farchy,"=""1847942660""","=""9781847942661""",5,Random House Business,Paperback,410,2020,2021,,2026/05/13,,,read,,,,1,0
43035,White Fang,Jack London,"London, Jack",K.A. Applegate,"=""""","=""""",0,Scholastic Paperbacks,Paperback,252,2001,1906,,2023/10/29,"kidz, did-not-finish","kidz (#5), did-not-finish (#1)",did-not-finish,,,,1,0
18693910,Barbarian Days: A Surfing Life,William Finnegan,"Finnegan, William",,"=""1594203474""","=""9781594203473""",4,Penguin Press,Hardcover,447,2015,2015,2026/05/13,2024/09/16,,,read,,,,1,0
213870122,Chokepoints: American Power in the Age of Economic Warfare,Edward Fishman,"Fishman, Edward",,"=""0593712978""","=""9780593712979""",5,Portfolio,Hardcover,560,2025,2025,2026/01/23,2025/12/01,,,read,,,,1,0
171681821,The Anxious Generation: How the Great Rewiring of Childhood Caused an Epidemic of Mental Illness,Jonathan Haidt,"Haidt, Jonathan",,"=""0593655036""","=""9780593655030""",5,Penguin Press,Hardcover,385,2024,2024,,2026/01/06,,,read,,,,1,0
52838315,Greenlights,Matthew McConaughey,"McConaughey, Matthew",,"=""0593139135""","=""9780593139134""",5,Crown,Hardcover,289,2020,2020,,2026/01/06,,,read,,,,1,0
123850420,The Brothers Karamazov,Fyodor Dostoevsky,"Dostoevsky, Fyodor",,"=""""","=""""",5,Tech Tok Ltd,Kindle Edition,1095,2023,1879,2025/12/29,2022/04/12,,,read,,,,1,0
3685,Black Beauty,Anna Sewell,"Sewell, Anna",Gail Carson Levine,"=""0439228905""","=""9780439228909""",0,Scholastic Paperbacks,Mass Market Paperback,245,2003,1877,,2023/10/29,kidz,kidz (#4),read,,,,1,0
1842,"Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,"Diamond, Jared",,"=""0739467352""","=""9780739467350""",3,W.W. Norton & Company,Paperback,498,2005,1997,,2025/12/17,,,read,,,,1,0
61549,Mr. Popper's Penguins,Richard Atwater,"Atwater, Richard","Florence Atwater, Robert Lawson","=""""","=""""",0,"Little, Brown and Company",Paperback,139,1992,1938,2025/12/10,2025/07/29,kidz,kidz (#9),read,,,,1,0
61817859,Palestine 1936: The Great Revolt and the Roots of the Middle East Conflict,Oren Kessler,"Kessler, Oren",,"=""1538148811""","=""9781538148815""",0,Rowman & Littlefield Publishers,Hardcover,336,2023,2023,2025/12/10,2023/12/13,nonfic,nonfic (#4),read,,,,1,0
1184046,The Force,David Dorsey,"Dorsey, David",,"=""0345376250""","=""9780345376251""",0,Random House Publishing Group,Paperback,336,1995,1994,,2025/11/28,to-read,to-read (#30),to-read,,,,0,0
